19806
305	1 10	1 4	1 28	1 34	0.003694065	0.003765424801307123
306	1 10	1 4	1 34	1 40	0.001844465	0.004282016639888583
307	1 10	1 4	1 40	1 46	0.000964003	0.0044985952595772965
308	1 10	1 4	1 46	1 52	0.000532235	0.005385211137382993
309	1 10	1 4	1 52	1 58	0.0003560775	0.005875595794811704
310	1 10	1 4	1 58	1 64	0.000198412	0.006926464069428562
311	1 10	1 3	1 17	1 24	0.047319650000000005	0.004628844097836694
312	1 10	1 3	1 24	1 31	0.00828716	0.0032267138973445437
313	1 10	1 3	1 31	1 38	0.0034120649999999997	0.004004018907031982
314	1 10	1 3	1 38	1 45	0.001480145	0.004025610899994659
315	1 10	1 3	1 45	1 52	0.00073868	0.005153732742196172
316	1 10	1 3	1 52	1 59	0.00044329899999999997	0.005868580098152258
317	1 10	1 3	1 59	1 66	0.0002297405	0.006776383151927085
318	1 10	1 3	1 66	1 73	0.00014577699999999998	0.007498435819901974
319	1 10	1 2	1 18	1 26	0.0376615	0.004009873034310645
320	1 10	1 2	1 34	1 42	0.002748075	0.004137463945528055
321	1 10	1 2	1 42	1 50	0.001192535	0.0050945174447136815
322	1 10	1 2	1 50	1 58	0.0006071760000000001	0.005778574851322961
323	1 10	1 2	1 58	1 66	0.00032004500000000003	0.0069162398011350405
324	1 10	1 2	1 66	1 74	0.000205671	0.007801760309765916
325	1 10	1 2	1 74	1 82	0.0001414465	0.009890825854107079
326	1 11	1 10	1 12	1 13	0.301317	0.031221646017528054
327	1 11	1 10	1 13	1 14	0.08666345	0.010487769047633919
328	1 11	1 10	1 14	1 15	0.03522325	0.011899274025088998
329	1 11	1 10	1 15	1 16	0.0129469	0.0010706792021633676
330	1 11	1 10	1 16	1 17	0.010343149999999999	0.003983896451526785
331	1 11	1 10	1 17	1 18	0.00670102	0.0025332009873555873
332	1 11	1 10	1 18	1 19	0.004070675	0.0003504107571672019
333	1 11	1 10	1 19	1 20	0.00297754	0.0016174704235186242
334	1 11	1 9	1 13	1 15	0.18001499999999998	0.007639848408898256
335	1 11	1 9	1 15	1 17	0.0382296	0.0047952527805504705
336	1 11	1 9	1 17	1 19	0.0185278	0.0041045309125663405
337	1 11	1 9	1 19	1 21	0.00936587	0.0030283230646189633
338	1 11	1 9	1 21	1 23	0.0047905299999999994	0.0027082587452625768
339	1 11	1 9	1 23	1 25	0.0019177349999999998	0.0028769153059703266
340	1 11	1 9	1 27	1 29	0.001076706	0.0030289039095644497
341	1 11	1 8	1 14	1 17	0.1131125	0.009233863622769603
342	1 11	1 8	1 17	1 20	0.03075335	0.0038379708213183757
343	1 11	1 8	1 20	1 23	0.01131755	0.0020726937551449175
344	1 11	1 8	1 23	1 26	0.00359546	0.0029330013831520303
345	1 11	1 8	1 26	1 29	0.002078815	0.002342312391280836
346	1 11	1 8	1 32	1 35	0.0010529649999999999	0.0038469490237904684
